Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
120,"Tuesday, Aug 17",preview,SFG,,NYM,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
121,"Wednesday, Aug 18",preview,SFG,,NYM,3:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
122,"Friday, Aug 20",preview,SFG,@,OAK,9:40 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
123,"Saturday, Aug 21",preview,SFG,@,OAK,4:07 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
124,"Sunday, Aug 22",preview,SFG,@,OAK,4:07 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
125,"Tuesday, Aug 24",preview,SFG,@,NYM,7:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
126,"Wednesday, Aug 25",preview,SFG,@,NYM,7:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
127,"Thursday, Aug 26",preview,SFG,@,NYM,7:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
128,"Friday, Aug 27",preview,SFG,@,ATL,7:20 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
129,"Saturday, Aug 28",preview,SFG,@,ATL,7:20 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
130,"Sunday, Aug 29",preview,SFG,@,ATL,1:20 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
131,"Monday, Aug 30",preview,SFG,,MIL,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
132,"Tuesday, Aug 31",preview,SFG,,MIL,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
133,"Wednesday, Sep 1",preview,SFG,,MIL,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
134,"Thursday, Sep 2",preview,SFG,,MIL,3:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
135,"Friday, Sep 3",preview,SFG,,LAD,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
