away_team,away_score,home_team,home_score
Seattle Mariners,13,Texas Rangers,1
Chicago Cubs,10,Milwaukee Brewers,0
New York Mets,9,St. Louis Cardinals,3
Detroit Tigers,9,Los Angeles Angels,1
Colorado Rockies,0,San Francisco Giants,4
Tampa Bay Rays,3,New York Yankees,2
Houston Astros,8,Chicago White Sox,3
Cleveland Guardians,5,Toronto Blue Jays,3
San Diego Padres,2,Pittsburgh Pirates,1
Colorado Rockies,3,San Francisco Giants,6
Minnesota Twins,4,Boston Red Sox,3
Athletics,6,Miami Marlins,9
Arizona Diamondbacks,2,Philadelphia Phillies,7
Washington Nationals,11,Cincinnati Reds,6
Seattle Mariners,2,Texas Rangers,1
Chicago Cubs,6,Milwaukee Brewers,2
Kansas City Royals,4,Baltimore Orioles,0
Los Angeles Dodgers,10,Atlanta Braves,3
Detroit Tigers,2,Los Angeles Angels,5
New York Mets,NA,St. Louis Cardinals,NA
New York Mets,5,St. Louis Cardinals,6
New York Mets,4,St. Louis Cardinals,5
Kansas City Royals,11,Baltimore Orioles,6
San Diego Padres,4,Pittsburgh Pirates,0
Minnesota Twins,5,Boston Red Sox,4
Tampa Bay Rays,7,New York Yankees,5
Cleveland Guardians,5,Toronto Blue Jays,4
Athletics,3,Miami Marlins,2
Arizona Diamondbacks,11,Philadelphia Phillies,9
Houston Astros,4,Chicago White Sox,5
Chicago Cubs,0,Milwaukee Brewers,4
Seattle Mariners,1,Texas Rangers,8
Colorado Rockies,3,San Francisco Giants,9
Detroit Tigers,13,Los Angeles Angels,1
Washington Nationals,4,Cincinnati Reds,1
Los Angeles Dodgers,3,Atlanta Braves,4
Los Angeles Dodgers,7,Miami Marlins,4
San Diego Padres,4,New York Yankees,3
Cincinnati Reds,0,Atlanta Braves,4
San Francisco Giants,2,Chicago Cubs,9
Chicago White Sox,0,Kansas City Royals,3
Houston Astros,1,Milwaukee Brewers,5
Pittsburgh Pirates,3,St. Louis Cardinals,6
New York Mets,5,Arizona Diamondbacks,4
Seattle Mariners,6,Athletics,7
Cleveland Guardians,NA,Washington Nationals,NA
Cleveland Guardians,9,Washington Nationals,10
Cleveland Guardians,9,Washington Nationals,1
Los Angeles Dodgers,4,Miami Marlins,5
Texas Rangers,6,Boston Red Sox,1
Philadelphia Phillies,8,Tampa Bay Rays,4
